COMPANY	COUNTRY	MARKET
Falconbridge Ltd.	Canada	OTC - Debt
Fantom Technologies Inc.	Canada	OTC
Fiat S.p.A.	Italy	NYSE
Fila Holdings S.p.A.	Italy	NYSE
Filtronic plc	United Kingdom	OTC - Debt
FirstService Corp.	Canada	SM CAP
Fisher & Paykel Industries Ltd.	New Zealand	NMS
Flag Ltd.	Bermuda	OTC - Debt
Flamel Technologies S.A.	France	NMS
Fletcher Building Ltd.	New Zealand	NYSE
Fletcher Challenge Forests Ltd.	New Zealand	NYSE
Flotek Industries Inc.	Canada	OTC
Fomento Economico Mexicano S.A. de C.V.	Mexico	NYSE
Forbes Medi-Tech Inc.	Canada	NMS
Fording, Inc.	Canada	NYSE
Formula Systems (1985) Ltd.	Israel	NMS
Four Seasons Hotels Inc.	Canada	NYSE
France Telecom	France	NYSE
Franklin Lake Resources Ltd.	Canada	OTC
Fresenius Medical Care AG	Germany	NYSE
Fresh Del Monte Produce Inc.	Cayman Islands	NYSE
Frisco Bay Industries Ltd.	Canada	NMS
Frontline Ltd.	Bermuda	NYSE
Futuremedia plc	United Kingdom	SM CAP
G. Willi-Food International Ltd.	Israel	SM CAP
Gala Group Holdings plc	United Kingdom	OTC - Debt
Galen Holdings plc	United Kingdom	NMS
Gallaher Group plc	United Kingdom	NYSE
Gearbulk Holding Ltd.	Bermuda	OTC - Debt
Gee-Ten Ventures Inc.	Canada	OTC
Gemplus International S.A.	Luxembourg	NMS
Gener S.A.	Chile	OTC
Genesis Microchip Inc.	Canada	NMS
Genesys S.A.	France	OTC
Genetronics Biomedical Ltd.	Canada	AMEX
Gensci Regeneration Sciences Inc.	Canada	OTC
Genset	France	NMS
Gentia Software plc	United Kingdom	OTC
Gentry Resources Ltd.	Canada	OTC
Gerdau S.A.	Brazil	NYSE
Getgo Mail.com Ltd.	British Virgin Islands	SM CAP
Getty Copper Corp.	Canada	OTC
Gigamedia Ltd.	Singapore	NMS
Gilat Satellite Networks Ltd.	Israel	NMS
Gildan Activeware Inc.	Canada	NYSE
Given Imaging Ltd.	Israel	NMS
Glamis Gold Ltd.	Canada	NYSE
GlaxoSmithKline plc	United Kingdom	NYSE
Glencore Nickel Pty Ltd.	Australia	OTC - Debt
Glengarry Holdings Ltd.	Bermuda	OTC
Global Light Telecommunications Inc.	Canada	AMEX
Global SantaFe Corp.	Cayman Islands	NYSE
Global Sources Ltd.	Bermuda	NMS
Global-Tech Appliances Inc.	British Virgin Islands	NYSE
Globaltex Industries Inc.	Canada	OTC
Globe Telecom plc	Philippines	OTC - Debt
Globetech Ventures Corp.	Canada	OTC
Globex Mining Enterprises Inc.	Canada	OTC
Globo Cabo S.A.	Brazil	NMS
Gold Reserve Inc.	Canada	OTC
Goldbelt Resources Ltd.	Canada	OTC
Goldcorp, Inc.	Canada	NYSE
Golden Nugget Exploration Inc.	Canada	OTC
Golden Rule Resources Ltd.	Canada	OTC
Golden Star Resources Ltd.	Canada	OTC
Goran Capital Inc.	Canada	OTC
Governor and Company of the Bank of Ireland	Ireland	NYSE
GrandeTel Technologies Inc.	Canada	OTC
Grapes Communications B.V.	Netherlands	OTC - Debt
Great Basin Gold Ltd.	Canada	OTC
Great Lakes Power Inc.	Canada	OTC - Debt
Groupe Danone	France	NYSE
Gruma, S.A. de C.V.	Mexico	NYSE
Grupo Aeroportuario del Sureste, S.A. de C.V.	Mexico	NYSE
Grupo Azucarero, S.A. de C.V.	Mexico	OTC - Debt
Grupo Casa Saba, S.A. de C.V.	Mexico	NYSE
Grupo Elektra S.A.	Mexico	NYSE
Grupo Financiero Galicia S.A.	Argentina	NMS
Grupo Imsa S.A. de C.V.	Mexico	NYSE
Grupo Industrial Durango S.A. de C.V.	Mexico	NYSE
Grupo Industrial Maseca S.A. de C.V.	Mexico	NYSE
Grupo Iusacell Celular, S.A. de C.V.	Mexico	OTC - Debt
Grupo Iusacell, S.A. de C.V.	Mexico	NYSE
Grupo Minero Mexicano, S.A. de C.V.	Mexico	OTC - Debt
Grupo Radio Centro S.A. de C.V.	Mexico	NYSE
Grupo Simec S.A. de C.V.	Mexico	AMEX
Grupo Televisa S.A.	Mexico	NYSE
Grupo TMM, S.A. de C.V.	Mexico	NYSE
Grupo Tribasa S.A. de C.V.	Mexico	NYSE
GSI Lumonics Inc.	Canada	NMS
GT Group Telecom Inc.	Canada	NMS
Guangshen Railway Co. Ltd.	China	NYSE
Guangzhou-Shenzen Superhighway Holdings Ltd.	British Virgin Islands	OTC - Debt
Gucci Group N.V.	Netherlands	NYSE
Gulf Indonesia Resources Ltd.	Canada	NYSE
Haemacure Corp.	Canada	OTC
Hanaro Telecom, Inc.	Korea	NMS
Hanson plc	United Kingdom	NYSE
Harmony Gold Mining Co. Ltd.	South Africa	NMS
